term,term_introduced_by,valid_terminology,hanyu_pinyin,translation_type,english_equivalent,sanskrit_equivalent,old_chinese,later_han,middle_chinese,notes,document_frequency,error,validation
集滅道,Daotai and Buddhavarman,True,jí miè dào,Semantic,"Origin, Cessation, Path (referring to the Noble Truths)","samudaya, nirodha, mārga",?,?,?,"These are the second, third, and fourth of the Four Noble Truths (四聖諦, catur-ārya-satya). The first Noble Truth is Suffering (苦, duḥkha). When combined, they form '苦集滅道' (kǔ jí miè dào).",2,,
展轉相緣,Daotai and Buddhavarman,True,zhǎn zhuǎn xiāng yuán,Semantic,successive interdependence; revolving interdependence,paryāya-pratītyasamutpāda,?,?,?,"This term describes the nature of dependent origination (pratītyasamutpāda) where phenomena arise and cease in a continuous, successive, and mutually interdependent manner, like a revolving cycle. It emphasizes the dynamic and continuous aspect of intercausation.",2,,
總相觀,Daotai and Buddhavarman,True,zǒng xiàng guān,Semantic,contemplation of the totality of characteristics; contemplation of general characteristics; meditation on general characteristics,sāmānyalakṣaṇa-darśana,,,,"總相觀 refers to a type of Buddhist meditation or contemplation that focuses on the general, universal, or common characteristics (總相, sāmānyalakṣaṇa) of all phenomena, rather than their specific individual characteristics (別相觀, viśeṣalakṣaṇa-darśana). This practice aims to realize the impermanence, suffering, and non-self nature of all things, thereby transcending attachment to specific forms and fostering insight into emptiness.",3,,
下根,Daotai and Buddhavarman,True,xià gēn,Semantic,lower faculties; inferior capacities; inferior root,mṛdu-indriya,?,?,?,"Refers to individuals with lesser spiritual capacity or understanding, who require simpler teachings or a more gradual path to enlightenment. It is often contrasted with '上根' (superior faculties) and '中根' (middle faculties), classifying people according to their readiness for the Dharma.",5,,
法智分,Daotai and Buddhavarman,True,fǎ zhì fēn,Semantic,Dharma-knowledge division,dharma-jñāna-aṃśa,,,,"This term refers to the knowledge of the Four Noble Truths as they apply to the realm of phenomena (dharmas) within the sensory world (kāmadhātu, 欲界). It is one of the 'ten knowledges' (daśa-jñāna, 十智) or 'twelve knowledges' (dvādaśa-jñāna, 十二智) described in Abhidharma Buddhism. It is often contrasted with 'analogy knowledge' (anvaya-jñāna, 類智), which applies to the supra-sensory realms (rūpadhātu and ārūpyadhātu).",3,,
比智分,Daotai and Buddhavarman,True,bǐ zhì fēn,Semantic,Division of Inferential Knowledge,anumāna-jñāna-bhāga,,,,"A technical term in Yogācāra philosophy, referring to the division or aspect of wisdom derived from inference or analogy. It is one of the five divisions of wisdom (慧五分) discussed in texts like the Yogācārabhūmiśāstra, alongside direct knowledge, comprehensive understanding, abandonment, and cultivation.",4,,
修道所斷心,Daotai and Buddhavarman,True,xiūdào suǒduàn xīn,Semantic,defilements eradicated through cultivation (of the path); afflictions to be eliminated by cultivation,bhāvanā-heya-kleśa,?,?,?,"This term refers to the mental afflictions (kleśa) that are eliminated through the practice and cultivation of the Buddhist path (bhāvanā-mārga), as opposed to those eliminated by direct insight into the truth (darśana-mārga).",2,,
苦忍苦智,Daotai and Buddhavarman,True,kǔ rěn kǔ zhì,Semantic,Endurance of suffering and wisdom regarding suffering,duḥkha-kṣānti and duḥkha-jñāna,,,,"This term combines two significant Buddhist concepts: 苦忍 (kǔrěn), meaning 'endurance of suffering' or 'patience with hardship', which relates to the Sanskrit kṣānti (patience/forbearance); and 苦智 (kǔzhì), meaning 'wisdom regarding suffering' or 'knowledge of suffering', which relates to Sanskrit jñāna or prajñā concerning duḥkha (suffering). It describes a practitioner's ability to patiently endure hardship while possessing a deep understanding of the nature of suffering, a key aspect of the Four Noble Truths.",2,,
道泰,Daotai and Buddhavarman,False,dào tài,Partial term,The Way is peaceful/prosperous,,?,?,?,"This phrase is a general classical Chinese expression meaning 'the Way is peaceful and prosperous.' It is not a specific technical Buddhist term, but rather a descriptive phrase that might appear in various contexts, including Buddhist texts, to convey a flourishing or harmonious state.",9,,
法爾,Daotai and Buddhavarman,True,fǎ'ěr,Semantic,"thusness, suchness, reality, natural state, natural law",dharmatā,,,,"法爾 (fǎ'ěr) refers to the inherent nature of phenomena, the way things are by their own nature, without external cause or modification. It is often used to translate the Sanskrit term dharmatā, which signifies the suchness or ultimate reality of all phenomena.",5,,
作觀,Daotai and Buddhavarman,True,zuò guān,Semantic,to practice contemplation,bhāvanā,,,,"Refers to the active engagement in Buddhist contemplative practices, particularly the cultivation of insight (vipaśyanā) or meditation in general. The term 'bhāvanā' denotes cultivation or development through practice.",3,,
波伽羅那,Daotai and Buddhavarman,True,Bōjiāluónà,Transliteration,Blessed One; Lord; Revered One,bhagavāna,pā-ka-lā-nā,pua-ka-la-na,pwaj ka la najʰ,"A common transliteration of the Sanskrit term 'bhagavāna', which is an epithet for the Buddha, meaning 'Blessed One' or 'World-Honored One'.",7,,
和須蜜,Daotai and Buddhavarman,True,hé xū mì,Transliteration,Vasumitra,Vasumitra,"和 /*ɢˤaj/, 須 /*s-l̥a/, 蜜 /*mˤit/","和 /ɣua/, 須 /siu/, 蜜 /mi̯et/","和 /*ɣwa/, 須 /*syo/, 蜜 /*mjet/","Vasumitra was a prominent Buddhist scholar and arhat, often associated with the Fourth Buddhist Council and the compilation of the Mahāvibhāṣā-śāstra. There are several figures named Vasumitra in Buddhist history, and their identities can sometimes be conflated.",11,,
比相智,Daotai and Buddhavarman,True,bǐ xiàng zhì,Semantic,Inferential knowledge,anumāna-jñāna,?,?,?,"This refers to knowledge gained through inference (anumāna) and analysis of characteristics (lakṣaṇa), often contrasted with direct perception (pratyakṣa-jñāna). It is also sometimes translated as 'knowledge of characteristics' (lakṣaṇa-jñāna).",3,,
明淨智,Daotai and Buddhavarman,True,míngjìngzhì,Semantic,Clear and pure wisdom,vimalajñāna,,,,"Describes a quality of profound wisdom, often attributed to Buddhas or advanced Bodhisattvas, characterized by clarity, purity, and freedom from defilements.",2,,
央掘魔羅,Daotai and Buddhavarman,True,yāng jué mó luó,Transliteration,Angulimala,Aṅgulimāla,*qˤraŋ *kut *maj *raːj,ʔaŋ kut ma lɑ,ʔaeng kuet ma la,"Aṅgulimāla was a notorious serial killer who later became a Buddhist monk and an arhat. His name means 'finger garland' in Sanskrit, referring to his practice of wearing a necklace made from the fingers of his victims.",5,,
所依,Daotai and Buddhavarman,True,suǒ yī,Semantic,"basis, support, foundation, that which is relied upon",āśraya,,,,"Refers to a basis, support, or foundation upon which something depends or from which it arises. It often denotes the substratum or condition for something to exist or function. For example, the body and mind can be considered the 'basis' (所依) for consciousness.",6,,
有餘之說,Daotai and Buddhavarman,True,yǒuyú zhī shuō,Semantic,the doctrine of remainder; the teaching of sa-upādhiśeṣa,sa-upādhiśeṣa,?,?,?,"This term refers to the Buddhist concept of 'nirvāṇa with remainder' (sa-upādhiśeṣa-nirvāṇa), which is a state of nirvana achieved by an arhat while still alive, meaning the physical body and its remaining karmic effects (the 'remainder' or upādhi) are still present. It is contrasted with 'nirvāṇa without remainder' (anupadhiśeṣa-nirvāṇa), which occurs upon the death of an arhat, signifying the complete cessation of all aggregates.",2,,
別相觀,Daotai and Buddhavarman,True,bié xiàng guān,Semantic,Contemplation of distinguishing features; Contemplation of individual characteristics; Particular-aspect contemplation,viśeṣa-lakṣaṇa-bhāvanā,?,?,?,"This term refers to a specific type of meditation or contemplation in Buddhism that involves observing the unique and distinguishing characteristics of individual phenomena, as opposed to their general or common characteristics (總相觀, zǒngxiàngguān).",2,,
虛相觀,Daotai and Buddhavarman,True,xūxiāngguān,Semantic,Contemplation of illusory phenomena,māyā-nimitta-bhāvanā,?,?,?,"Refers to the meditation or contemplation that all phenomena and their characteristics (相) are illusory (虛), lacking inherent existence, similar to an illusion or dream. It emphasizes seeing the unreal nature of all perceived forms.",2,,
一切處,Daotai and Buddhavarman,True,yī qiè chù,Semantic,everywhere; in all places; in all respects,sarvatra,,,,"This term indicates presence or applicability in all locations, conditions, or aspects. It is a common phrase in Buddhist texts.",6,,
生得慧,Daotai and Buddhavarman,True,shēngdéhuì,Semantic,Innate wisdom; wisdom acquired by birth,upapattipratilabdhā prajñā,?,?,?,"This refers to wisdom possessed naturally from birth, often due to past karma or inherent nature, without conscious effort in the current lifetime. It is often distinguished from wisdom gained through hearing (śrutamayī prajñā), thinking (cintāmayī prajñā), and cultivation (bhāvanāmayī prajñā).",3,,
勝進分,Daotai and Buddhavarman,True,shèng jìn fēn,Semantic,factors conducive to superior progress,viśeṣabhāgīya,?,?,?,"This term refers to factors or parts that are conducive to superior advancement or progress in spiritual cultivation, often discussed in Abhidharma literature.",3,,
學心,Daotai and Buddhavarman,True,xuéxīn,Semantic,learning mind,N/A,?,?,?,The term '學心' is a descriptive phrase meaning 'learning mind' or 'student's mind'. It is widely used in Buddhist texts to refer to the attitude or disposition of someone learning and practicing the Dharma. It is a semantic combination describing a key aspect of Buddhist practice rather than a specific technical term.,5,,
隱沒無記心,Daotai and Buddhavarman,True,yǐn mò wú jì xīn,Semantic,obscured indeterminate mind; afflicted indeterminate consciousness,kliṣṭāvyākṛta-manas,,,,"A key concept in Yogācāra Buddhism, specifically referring to the seventh consciousness (manas). This consciousness constantly grasps the ālaya-vijñāna (storehouse consciousness) as a self. It is considered 'obscured' or 'afflicted' (kliṣṭa) because it is perpetually accompanied by four defilements (kleśas): self-view (ātma-dṛṣṭi), self-love (ātma-sneha), self-conceit (ātma-māna), and ignorance (avidyā). It is 'indeterminate' (avyākṛta) because its karmic retribution is neither wholesome nor unwholesome, but rather morally neutral.",4,,
報心,Daotai and Buddhavarman,True,bào xīn,Semantic,Retributive mind; the mind which reaps retribution,N/A,?,?,?,"This term refers to the mind that experiences the results of past actions, or the mind that is subject to karmic retribution (報應). It describes the mind's state in relation to the ripening of karma.",2,,
見集所斷,Daotai and Buddhavarman,True,Jiàn jí suǒ duàn,Semantic,Defilements eliminated by the path of seeing concerning the origin of suffering,samudaya-satya-darśana-heya,,,,"This term refers to a category of *kleśas* (defilements) that are eliminated by directly perceiving the Four Noble Truths, specifically those related to the truth of *samudaya* (the origin of suffering). It is part of the Abhidharma classification of defilements into *darśana-heya* (eliminated by seeing) and *bhāvanā-heya* (eliminated by cultivation).",4,,
見滅所斷,Daotai and Buddhavarman,True,jiàn miè suǒ duàn,Semantic,afflictions eliminated by seeing the truth of cessation,darśana-heya,,,,"Refers to the afflictions (kleshas) that are eliminated on the path of seeing (darśanamārga, 見道) through understanding the truth of cessation (nirodha-satya, 滅諦) and other Four Noble Truths. These are contrasted with bhāvanā-heya (修所斷), afflictions eliminated on the path of cultivation.",4,,
意識生,Daotai and Buddhavarman,True,yìshíshēng,Semantic,Consciousness-born; Born from consciousness,upapāduka,,,,"This term refers to one of the four types of birth (caturyoni), where beings are spontaneously generated without parents or intermediate stages, often through the power of their karma and consciousness. It is generally synonymous with transformation birth (化生, huàshēng).",2,,
集法智,Daotai and Buddhavarman,True,jí fǎ zhì,Semantic,Knowledge of the Truth of Origination,samudaya-dharma-jñāna,,,,"This is one of the ten kinds of knowledge (daśa jñānāni) described in Abhidharma literature. It is specifically related to the second Noble Truth, the Truth of the Origin of Suffering (samudaya-satya), and refers to the wisdom that discerns the nature of the origination or cause (samudaya) of suffering.",4,,
見道所斷,Daotai and Buddhavarman,True,jiàndào suǒduàn,Semantic,afflictions eliminated by the Path of Seeing,darśana-mārga-prahātavya,,,,"Refers to the afflictions (kleshas) that are eliminated upon attaining the Path of Seeing (darśana-mārga), which is the first stage of the path to liberation involving the direct realization of the Four Noble Truths. These are distinct from afflictions eliminated by the Path of Cultivation (修道所斷, bhāvanā-mārga-prahātavya).",9,,
五百羅漢,Daotai and Buddhavarman,True,Wǔbǎi Luóhàn,Mixed,Five Hundred Arhats,Pañcaśatā Arhat,,,,"Refers to a group of 500 arhats, often depicted in Buddhist art and literature, traditionally believed to have attended the First Buddhist Council or compiled the Tripitaka. '五百' (wǔbǎi) is a semantic translation meaning 'five hundred', while '羅漢' (luóhàn) is a transliteration of the Sanskrit 'arhat'.",10,,
遮摩羅,Daotai and Buddhavarman,True,zhēmóluó,Transliteration,yak-tail whisk; yak; fly-whisk,"camara, camarī",tśra mra rˤa,tṣia ma la,tsra mra lˤa,"This term transliterates the Sanskrit 'camara' or 'camarī', referring to a yak or a yak-tail whisk. The yak-tail whisk is a traditional symbol of royalty, nobility, and high religious status, often depicted as an attribute of Bodhisattvas or deities in Buddhist art and iconography. It is sometimes included as one of the Eight Auspicious Symbols (Aṣṭamaṅgala) in some Buddhist traditions.",2,,
五念處,Daotai and Buddhavarman,True,wǔ niàn chǔ,Semantic,Five objects of mindfulness; Five foundations of mindfulness,pañca-smṛty-upasthāna,,,,"This term refers to the five objects or foundations of mindfulness, which are a key practice in Buddhist meditation. While the 'four foundations of mindfulness' (smṛty-upasthāna) are more commonly discussed, various enumerations of five exist in different traditions or texts. The '處' (chǔ) here translates upasthāna, meaning 'foundation' or 'establishment'.",2,,
內外入,Daotai and Buddhavarman,True,nèi wài rù,Semantic,internal and external sense-bases,ādhyātmika-bāhya-āyatana,?,?,?,"The term refers to the six internal sense-bases (eyes, ears, nose, tongue, body, mind) and the six external sense-bases (forms, sounds, smells, tastes, tangibles, mental objects), together forming the twelve āyatanas or sense-spheres in Buddhist cosmology.",2,,
地獄趣,Daotai and Buddhavarman,True,Dìyùqù,Semantic,Hell-realm; Naraka-realm; Realm of hells,Naraka-gati,,,,"地獄趣 refers to the lowest of the six destinies (六趣 or 六道) or five destinies (五趣), where beings suffer the consequences of their evil actions. It is often simply referred to as 地獄.",7,,
出要法,Daotai and Buddhavarman,True,chū yào fǎ,Semantic,Dharma of deliverance; essential Dharma for liberation/emancipation,niḥsaraṇa-dharma,,,,"出 (chū) means 'to go out, to deliver, to liberate, to emancipate'. 要 (yào) means 'essential, important'. 法 (fǎ) means 'Dharma, teaching, method'. Together, the term refers to the essential teachings or methods that lead to liberation or emancipation from saṃsāra.",3,,
修道斷,Daotai and Buddhavarman,True,xiūdào duàn,Semantic,elimination through cultivation; abandonment by cultivation; defilements eradicated by cultivation,bhāvanā-heya,?,?,?,"This is a key technical term in Buddhist Abhidharma, referring to the defilements (kleśa) that are eliminated through the practice or cultivation of the spiritual path (bhāvanā-mārga), as opposed to those eliminated by direct insight or seeing the truth (darśana-heya or dṛṣṭi-heya, corresponding to 見道斷).",17,,
虛空非數滅,Daotai and Buddhavarman,True,xūkōng fēi shù miè,Semantic,Space is not cessation through calculation,ākāśam na saṅkhyānirodhaḥ,,,,"This term originates from Abhidharma philosophy, particularly the Abhidharmakośa-bhāṣya. It asserts that space (ākāśa) is an uncompounded dharma (asaṃskṛta-dharma) and therefore is not subject to 'cessation through calculation' (saṅkhyānirodha), which refers to the cessation of compounded phenomena by understanding or enumeration.",3,,
願智力,Daotai and Buddhavarman,True,yuàn zhì lì,Semantic,power of aspirational wisdom,praṇidhāna-jñāna-bala,?,?,?,One of the ten powers (daśa-bala) of a buddha. It refers to the power of wisdom that arises from a buddha's vows to benefit sentient beings.,3,,
威勢果,Daotai and Buddhavarman,True,Wēi shì guǒ,Semantic,Fruit of power,prabhāva-phala,,,,"This term refers to the karmic result or consequence of actions that lead to the attainment of power, authority, or influence in future existences or states.",2,,
色心不相應行,Daotai and Buddhavarman,True,sè xīn bù xiāng yīng xíng,Semantic,formations not associated with form or mind,viprayukta-saṃskāra,,,,"This term refers to the category of 'non-concomitant formations' (*viprayukta-saṃskāra*), explicitly stating that these formations are neither associated with form (*rūpa*) nor mind (*citta*). In Buddhist philosophy, *viprayukta-saṃskāra* are understood to be distinct from both physical matter and mental phenomena, comprising a separate category of dharmas.",2,,
不動法心解脫,Daotai and Buddhavarman,True,bù dòng fǎ xīn jiě tuō,Semantic,Liberation of the Imperturbable Dharma-Mind,Akuppa-dharma-citta-vimokṣa,?,?,?,"This is a descriptive Buddhist phrase, not a single canonical technical term commonly listed in dictionaries as a headword. It combines the concepts of 'unshakable' (不動, akuppa), 'Dharma-mind' (法心, dharma-citta), and 'liberation' (解脫, vimokṣa) to describe a state of deliverance characterized by an unmoving adherence to the Dharma.",2,,
逮解脫戒,Daotai and Buddhavarman,True,dài jiě tuō jiè,Semantic,Pratimokṣa precepts; precepts leading to liberation,pratimokṣa,,,,The term '逮解脫戒' is a semantic translation of pratimokṣa. It refers to the fundamental monastic precepts which are a prerequisite for liberation or emancipation and are regularly recited by the monastic community.,5,,
斷戒,Daotai and Buddhavarman,True,duàn jiè,Semantic,breaking the precepts; violating the precepts,śīlabhaṅga,,,,"Refers to the act of transgressing or violating the monastic precepts (śīla) or ethical guidelines in Buddhism. It is a significant transgression, particularly for monastics.",2,,
修道所斷,Daotai and Buddhavarman,True,xiūdào suǒduàn,Semantic,afflictions eliminated by cultivation of the path; delusions to be severed by the path,bhāvanā-heya,,,,"This term refers to defilements (kleśas) that are overcome through the practice of meditation and cultivation on the path (bhāvanā-mārga), in contrast to darśana-heya (見所斷), which are eliminated through 'seeing' or comprehending the Four Noble Truths (darśana-mārga). It is a fundamental distinction in Abhidharma philosophy, particularly in the Sarvāstivāda and Yogācāra schools.",10,,
遠分對治,Daotai and Buddhavarman,True,yuǎnfēn duìzhì,Semantic,remote antidote; distant counteraction; remote counter-agent,dūra-pratipakṣa,,,,"Refers to an antidote or counter-agent that acts indirectly or on a more distant level, as opposed to an immediate or direct antidote (近分對治, jīn fēn duìzhì, Skt. sākṣāt-pratipakṣa). This distinction is important in Buddhist epistemology (Pramāṇavāda) when discussing different types of counter-reasons or counter-agents for afflictions or errors.",4,,
施設經,Daotai and Buddhavarman,True,shīshè jīng,Semantic,Sutra of Designations,Prajñapti-sūtra,,,,"Refers to a sutra or texts that discuss *prajñapti* (concepts, designations, provisional establishments, conventional truths). An example is the *Prajñaptivāda Sutra* (施設說經).",10,,
識身經,Daotai and Buddhavarman,True,shí shēn jīng,Semantic,Sutra on the Aggregate of Consciousness,Vijñānakāya-sūtra,?,?,?,"This term refers to a significant text within the Sarvāstivāda school's Abhidharma literature. Although its Chinese title ends with 經 (jīng, sūtra), it is functionally considered one of the Six Abhidharma Treatises (六足論, Ṣaṭpādābhīdharmāḥ śāstrāṇi), a set of foundational works authored by disciples of Kātyāyana. It is often referred to as the Vijñānakāya-śāstra (Treatise on the Aggregate of Consciousness) in Sanskrit and was composed by Devasharman (提婆設摩). The 'body' (身, kāya) in 'consciousness-body' (識身, vijñānakāya) here refers to an 'aggregate' or 'collection', specifically the aggregate of consciousness.",6,,
生得善,Daotai and Buddhavarman,True,shēng dé shàn,Semantic,Innate goodness,sahaja-kuśala,?,?,?,"This term refers to goodness or virtue that is innate or inherent from birth. It is often discussed in Buddhist discourse in contrast to cultivated or acquired goodness (修得善, xiū dé shàn), paralleling concepts like innate wisdom (生得慧, shēng dé huì).",4,,
方便善,Daotai and Buddhavarman,True,fāngbiàn shàn,Semantic,skillful goodness; expedient wholesomeness; skillful means and wholesome,upāya-kuśala,?,?,?,"Refers to wholesome or meritorious actions performed with skillful means (upāya). It implies that the way good is done is also important, making the action more effective in leading others to liberation or in generating merit. It combines the concept of expedient means with wholesome actions.",2,,
不隱沒無記心,Daotai and Buddhavarman,True,bù yǐn mò wú jì xīn,Semantic,unobscuring indeterminate mind,anivṛtāvyākṛta-citta,,,,"This term refers to a category of mental states or consciousnesses that are karmically neutral (indeterminate) and do not obstruct spiritual progress (non-obscuring). In Abhidharma, indeterminate (avyākṛta) phenomena are further divided into nivṛtāvyākṛta (obscuring indeterminate) and anivṛtāvyākṛta (non-obscuring indeterminate); this term falls into the latter category, indicating a mind that does not hinder liberation.",5,,
見苦所斷,Daotai and Buddhavarman,True,jiàn kǔ suǒ duàn,Semantic,Afflictions to be abandoned by insight into suffering,darśana-heya,,,,"This term refers to a category of defilements (kleśa) that are eradicated through the direct insight (darśana-mārga) into the Four Noble Truths, specifically the truth of suffering. It is contrasted with '修所斷' (xiū suǒ duàn, bhāvanā-heya), which are defilements eradicated through meditation and cultivation (bhāvanā-mārga).",7,,
根本使,Daotai and Buddhavarman,True,gēnběn shǐ,Semantic,root afflictions; fundamental defilements; fundamental latent tendencies,mūlānuśaya,,,,"Refers to the fundamental latent defilements or evil tendencies (anuśaya) that are the root causes of all active afflictions (kleśa). Traditionally, Buddhist texts identify six or ten such fundamental tendencies.",2,,
自地,Daotai and Buddhavarman,True,zì dì,Semantic,one's own stage,svabhūmi,,,,"This term refers to one's individual stage or ground of spiritual development, often found in discussions of the bodhisattva bhūmis (stages) or in Yogācāra philosophy regarding different levels of consciousness or practice specific to an individual.",3,,
罽賓沙門,Daotai and Buddhavarman,True,Jìbīn shāmén,Transliteration,Śramaṇa from Kapisa; Monk from Gandhara,Kapiśa-śramaṇa,*keds pˤin sras mˤun,kʰi̯eⁱ pɨn sa muən,kejH pin sa mun,"The term '罽賓' (Jìbīn) is an ancient Chinese name for a region often identified with Kapisa (modern Afghanistan), Gandhara, or Kashmir. '沙門' (shāmén) is a transliteration of the Sanskrit word 'śramaṇa', meaning an ascetic or monk. Thus, the term refers to Buddhist monks originating from or associated with the Jibin region, which was historically significant for the transmission of Buddhism into China.",5,,
僧伽婆修,Daotai and Buddhavarman,True,Sēngqiépóxiū,Transliteration,Saṃghavāsu,Saṃghavāsu,*srəŋ ka ba sru,sraŋ ka ba sjuw,sræng kˤa bˤa syuw,"An Indian Buddhist monk, a direct disciple of Ānanda, and often regarded as one of the early patriarchs in the lineage of Chan (Zen) Buddhism.",3,,
非戒,Daotai and Buddhavarman,True,fēi jiè,Semantic,non-precept,aśīlam,?,?,?,"This term refers to ""that which is not a precept"". It can denote immoral conduct (破戒, corresponding to Sanskrit `aśīlam` in the sense of lack of precepts or immorality), or more generally, actions that do not constitute precepts, whether good, bad, or neutral (corresponding to Sanskrit `na śīlam`). It is often discussed in the context of the ""three categories of precepts"": precepts (戒, `śīla`), non-precepts (非戒), and neither precepts nor non-precepts (非戒非非戒, `naiva śīlaṃ nāśīlam`).",2,,
緣聚,Daotai and Buddhavarman,True,yuán jù,Semantic,confluence of conditions,pratyayasaṃgati,?,?,?,"A Buddhist term referring to the coming together or assembly of various conditions (緣, pratyaya) that lead to the arising of phenomena. This concept is fundamental to the principle of dependent origination (緣起, pratītyasamutpāda).",2,,
婆已,Daotai and Buddhavarman,False,pó yǐ,Partial term,Not a complete or recognized term,,,,,"The term '婆已' is not a recognized or standard Buddhist terminology. While '婆' often appears in transliterations of Sanskrit terms (e.g., in 娑婆 Sāhā, 婆羅門 Brāhmaṇa), '已' typically means 'already' or 'to stop, cease'. Together, they do not form a coherent Buddhist concept, transliteration, or semantic translation.",2,,
非數滅,Daotai and Buddhavarman,True,fēi shù miè,Semantic,unpremeditated cessation; cessation not dependent on deliberation; non-deliberate cessation,apratisaṃkhyā-nirodha,,,,"This is one of the 'three unconditioned dharmas' (三無為法), along with 'pratisaṃkhyā-nirodha' (擇滅, deliberate cessation) and 'ākāśa' (虛空, space). It refers to the cessation of defilements that occurs naturally, without conscious effort or wisdom, when the conditions for their arising are absent.",15,,
九品斷,Daotai and Buddhavarman,True,jiǔ pǐn duàn,Semantic,elimination of the nine grades of defilements,navavidha-kleśa-prahāṇa,?,?,?,"This term refers to the gradual elimination or abandonment (斷) of the nine grades (九品) of defilements (煩惱, kleśa) or delusions. These nine grades (上上, 上中, 上下, 中上, 中中, 中下, 下上, 下中, 下下) classify defilements into superior, medium, and inferior levels, each further subdivided into three, a scheme common in various Mahayana schools for describing the stages of spiritual progress towards liberation.",2,,
譬喻者,Daotai and Buddhavarman,True,pì yù zhě,Semantic,parabolist; one who uses parables,upamā-vaktṛ,?,?,?,"This term literally means 'one who makes analogies or parables.' It refers to an individual who teaches using parables, or generally to a speaker of analogies. It is frequently found in Buddhist texts.",11,,
受身處,Daotai and Buddhavarman,True,shòushēnchù,Semantic,place of rebirth; abode of rebirth,gati,?,?,?,This term refers to any of the realms of existence (such as the three realms or six destinies) where beings are reborn and receive a new body according to their karma. It emphasizes the physical or mental location of one's incarnated existence within saṃsāra. The Sanskrit term 'gati' denotes these realms or destinies of rebirth.,2,,
五情根,Daotai and Buddhavarman,False,wǔ qíng gēn,Partial term,Five roots of emotions/desires,,,,,"This term is not standard Buddhist terminology. While '五根' (pañcendriyāṇi, 'Five Faculties') and '六根' (ṣaḍ indriyāṇi, 'Six Sense Faculties') are canonical, the compound '五情根' is not recognized as a specific technical term in major Buddhist lexicons. '情' (qíng) can refer to emotions, desires, or in some contexts, sense faculties, but its combination with '五' and '根' does not form a standard Buddhist concept.",2,,
現報業,Daotai and Buddhavarman,True,xiànbàoyè,Semantic,karma ripening in the present life; present retribution karma; karma whose fruit is experienced in the present life,dṛṣṭadharmavedanīya karma,,,,"This term refers to karma whose retribution or fruit is experienced in the present lifetime. It is one of the three types of karma classified by the time of their fruition (報時三業), the others being 'birth-retribution karma' (生報業) which ripens in the next life, and 'later-retribution karma' (後報業) which ripens in a life after the next, or 'unfixed retribution karma' (不定報業) if the time is uncertain. It can also be called present-life karma or present karma.",2,,
解脫出要,Daotai and Buddhavarman,True,jiětuō chūyào,Semantic,Essentials for liberation; essential path to liberation,mokṣopāya,,,,"This term refers to the essential teachings, methods, or crucial points for achieving liberation (mokṣa or vimokṣa) in Buddhism. '解脫' (jiětuō) means liberation or emancipation, and '出要' (chūyào) refers to the essential exit, path, or crucial means.",2,,
不煩天,Daotai and Buddhavarman,True,bù fán tiān,Semantic,Unbothered Heavens; Untroubled Heavens,avṛha,,,,"Refers to one of the five Pure Abodes (五淨居天, pañca śuddhāvāsakāyika-deva), which are heavens exclusively for non-returners (Anāgāmin). 'Unbothered Heavens' is the first of these heavens, where beings are free from all annoyance and trouble.",2,,
相應共有法,Daotai and Buddhavarman,True,xiāngyìng gòngyǒu fǎ,Semantic,associated common dharmas; associated shared phenomena; concordantly existent dharmas,saṃprayukta-sabhāga-dharma,,,,This term refers to dharmas (phenomena) that are associated with other mental factors or consciousness and are shared in their operation or nature. It is an important concept in Abhidharma classifications.,2,,
阿毘曇者,Daotai and Buddhavarman,True,ā pí tán zhě,Mixed,Abhidharmist,Abhidharmika,,,,"The term '阿毘曇' (ā pí tán) is a transliteration of Abhidharma, and '者' (zhě) is a semantic suffix indicating a person or group, thus 'one who studies Abhidharma' or 'Abhidharmist'.",5,,
生住異滅,Daotai and Buddhavarman,True,shēng zhù yì miè,Semantic,"arising, dwelling, change, and perishing",utpāda-sthiti-jarā-bhaṅga,?,?,?,"This is a fundamental concept in Buddhist philosophy, describing the four characteristics or phases of all conditioned phenomena (saṃskāra): their arising (utpāda), their dwelling or stability (sthiti), their change or decay (jarā), and their perishing or extinction (bhaṅga). It is a core teaching illustrating the doctrine of impermanence (anicca). As this is a semantic translation of a Sanskrit concept, Old Chinese, Later Han, and Middle Chinese pronunciations for the individual characters are not provided in their respective fields as per the instructions for 'Semantic' translation types.",3,,
制伏,Daotai and Buddhavarman,True,zhìfú,Semantic,"subdue, conquer, restrain, overcome, tame, master","damana, nigraha, vinaya",,,,"This term is widely used in Buddhist texts to refer to the act of subduing, conquering, or restraining defilements (kleśas), passions, negative karmic influences, or demonic forces (māras). It implies gaining mastery over internal and external obstacles on the path to spiritual liberation.",2,,
十二支緣,Daotai and Buddhavarman,True,shí'èr zhī yuán,Semantic,Twelve Links of Dependent Origination; Twelve Nidānas,dvādaśāṅga pratītyasamutpāda; dvādaśa-nidāna,?,?,?,"This term is an alternative or abbreviated form of '十二因緣' (shí'èr yīnyuán) or '十二緣起' (shí'èr yuánqǐ), both referring to the Twelve Links of Dependent Origination. The character '支' (zhī) here means 'branch' or 'component', similar to 'āṅga' in the Sanskrit `dvādaśāṅga`.",2,,
